"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05022","hsa05022","Pathways of neurodegeneration - multiple diseases","137/2774","476/8577",0.961744235366602,1,0.624707168514759,"7476/7477/100506742/2878/81029/55062/22943/627/7483/1435/7133/3553/10133/7475/3569/1767/3800/9627/3552/7124/6310/7494/817/7222/5743/65018/4747/5533/824/4790/6804/7855/5621/823/5606/4217/113457/10297/6300/1128/10381/3309/5600/51807/56171/51465/7132/7318/53349/9451/3709/775/7473/8323/8878/80326/147700/598/5861/81631/5332/84557/5604/836/55255/5578/1855/90550/2535/2081/10010/8326/643246/805/5970/9246/8324/5868/5331/4539/4731/3092/55860/4541/84617/4538/23236/5663/578/1454/7280/572/5594/840/177/517/10131/83544/91860/1020/1349/4717/4697/355/23401/4707/801/54539/4040/5532/4698/4696/5602/5413/4744/1742/10126/1350/7474/516/8313/1770/1139/8321/146754/6622/5582/6262/4137/27123/5579/5608/4842/2903/5173/9001/201625",137
"hsa05171","hsa05171","Coronavirus disease - COVID-19","63/2774","232/8577",0.964308616414211,1,0.624707168514759,"1437/7099/185/4153/3576/1956/3592/4939/721/720/1839/7450/3553/6347/4600/3569/3570/629/716/4599/7124/735/7097/8829/5293/4790/3725/4312/10379/4314/6300/715/340061/718/23586/3572/5600/7132/1636/64135/9641/115004/6774/6773/3654/5578/8517/5970/4938/4792/5594/6224/1147/5602/727/2353/1675/5582/719/5579/729/730/732",63
"hsa04975","hsa04975","Fat digestion and absorption","9/2774","43/8577",0.965767395709482,1,0.624707168514759,"335/19/8613/376497/8611/39/84649/50487/64240",9
"hsa04613","hsa04613","Neutrophil extracellular trap formation","50/2774","191/8577",0.974258697695631,1,0.624707168514759,"7099/3018/3690/7450/4688/5880/79885/7097/5293/4790/55766/6300/6404/718/5600/6714/8357/8365/554313/8349/8341/83933/71/8969/51564/60/79792/1535/9734/207/837/5332/5604/5578/5970/5331/23236/5594/177/3015/727/10000/3146/3674/3684/3689/5582/64581/55506/5579",50
"hsa00982","hsa00982","Drug metabolism - cytochrome P450","16/2774","72/8577",0.978533467326498,1,0.624707168514759,"2938/221/218/316/1571/4257/4258/9446/373156/2947/2941/2326/2944/2949/2946/2948",16
"hsa00620","hsa00620","Pyruvate metabolism","9/2774","47/8577",0.985447395209274,1,0.624707168514759,"10873/55902/3029/217/3945/501/39/97/32",9
"hsa05206","hsa05206","MicroRNAs in cancer","82/2774","310/8577",0.99071696117575,1,0.624707168514759,"407019/7057/960/5154/1956/3690/5328/5156/7168/5155/4233/7042/8651/3371/407006/406977/10253/1943/7148/3162/1026/1942/6768/4082/1545/5292/3678/5293/5743/4790/7431/5581/442898/10297/23414/1946/1021/399694/6093/6464/8434/11186/7473/5159/2744/6774/5598/4853/4854/5604/836/5578/4325/6624/2064/27250/6655/6541/1789/578/5594/900/993/4193/995/1788/672/7422/1027/595/90427/1869/3925/2146/8660/1944/10642/1870/5582/8626/131405/5579",82
"hsa00900","hsa00900","Terpenoid backbone biosynthesis","3/2774","23/8577",0.991333103540827,1,0.624707168514759,"79947/23590/39",3
"hsa04120","hsa04120","Ubiquitin mediated proteolysis","33/2774","142/8577",0.99363713378213,1,0.624707168514759,"326/330/8651/9021/329/9886/64750/7325/5371/7328/51465/92912/7318/26091/23295/868/134111/7320/9246/57154/4734/9616/9820/25847/11065/4193/51434/10054/23221/672/25898/90293/6502",33
"hsa03450","hsa03450","Non-homologous end-joining","1/2774","13/8577",0.993802267461678,1,0.624707168514759,"4361",1
"hsa03083","hsa03083","Polycomb repressive complex","17/2774","84/8577",0.995284139105722,1,0.624707168514759,"84333/29915/57332/114785/3054/23512/22823/10238/3720/5928/84456/9212/2146/100170841/84733/10389/57713",17
"hsa00020","hsa00020","Citrate cycle (TCA cycle)","4/2774","30/8577",0.995520824755473,1,0.624707168514759,"8801/48/3419/3417",4
"hsa00053","hsa00053","Ascorbate and aldarate metabolism","4/2774","30/8577",0.995520824755473,1,0.624707168514759,"7358/217/501/9365",4
"hsa04714","hsa04714","Thermogenesis","57/2774","232/8577",0.99646613315243,1,0.624707168514759,"10891/114/11343/90993/4879/51703/1374/656/64764/5592/112/5606/4217/196883/6300/63976/2180/5600/108/10488/115/71/2260/788/60/6196/6197/6655/4539/4731/4541/123096/4538/90639/51422/113/1355/28958/517/8289/1349/4717/4697/4707/54539/1353/4698/4696/3991/1350/126129/388753/516/4881/6599/8110/155",57
"hsa05310","hsa05310","Asthma","4/2774","31/8577",0.996675601794414,1,0.624707168514759,"7124/3113/3115/3109",4
"hsa05020","hsa05020","Prion disease","68/2774","272/8577",0.997024466797196,1,0.624707168514759,"6352/100506742/90993/3310/3553/3569/4688/5880/3800/5580/3552/7124/3915/735/5293/2534/5533/64764/3303/5621/3304/113457/6300/10381/3305/3309/5600/51807/10488/9451/3709/775/1535/147700/836/90550/4539/4731/4541/84617/4538/116444/7280/572/5594/517/858/1349/4717/4697/4707/54539/4684/5532/4698/4696/5602/857/727/1350/516/4685/1958/6262/2903/729/730/732",68
"hsa03018","hsa03018","RNA degradation","15/2774","79/8577",0.997356373415953,1,0.624707168514759,"694/5211/2027/22803/27258/5393/23016/56915/23658/9337/167227/57472/7832/5213/2026",15
"hsa04136","hsa04136","Autophagy - other","4/2774","32/8577",0.997539705959623,1,0.624707168514759,"55062/5516/115201/84938",4
"hsa05017","hsa05017","Spinocerebellar ataxia","31/2774","143/8577",0.998318379532891,1,0.624707168514759,"55062/5649/6310/7494/7222/5293/4217/3752/2259/6095/3709/207/5332/5578/90550/2081/7436/5331/23236/116444/56652/6667/773/5602/10000/3748/5582/1600/5579/2903/5173",31
"hsa00860","hsa00860","Porphyrin metabolism","6/2774","43/8577",0.998414203694235,1,0.624707168514759,"3162/644/1356/124454/1355/326625",6
"hsa03020","hsa03020","RNA polymerase","4/2774","34/8577",0.99866314349744,1,0.624707168514759,"5441/84172/51728/55718",4
"hsa00970","hsa00970","Aminoacyl-tRNA biosynthesis","11/2774","66/8577",0.998771809670188,1,0.624707168514759,"3035/123283/7453/833/57038/80222/124454/23395/5188/54938/55278",11
"hsa00830","hsa00830","Retinol metabolism","11/2774","68/8577",0.999240902970431,1,0.624707168514759,"220/50700/1543/316/216/157506/339761/8630/5959/9249/29785",11
"hsa05322","hsa05322","Systemic lupus erythematosus","28/2774","137/8577",0.999345764904974,1,0.624707168514759,"3018/721/720/716/87/7124/735/6737/55766/715/81/718/8357/8365/554313/8349/8341/8969/3015/727/3113/55506/3115/3109/2903/729/730/732",28
"hsa03013","hsa03013","Nucleocytoplasmic transport","19/2774","108/8577",0.999828640041895,1,0.624707168514759,"51068/6612/6396/84321/22916/129401/65109/3838/55705/51194/9631/3843/55916/3841/8086/55706/1917/79228/23225",19
"hsa03082","hsa03082","ATP-dependent chromatin remodeling","21/2774","117/8577",0.999856376726759,1,0.624707168514759,"55766/8099/10263/71/8969/60/8932/93973/8089/8289/57504/55193/196528/5928/80314/605/3015/6599/8110/1107/55506",21
"hsa05014","hsa05014","Amyotrophic lateral sclerosis","86/2774","364/8577",0.999923093370503,1,0.624707168514759,"100506742/2878/55062/7133/10133/1767/9542/3800/283/7124/7494/65018/4747/5533/5606/4217/113457/6300/3084/10381/3309/5600/51807/56171/7132/9451/71/60/8878/147700/311/598/5861/81631/84557/836/55255/90550/2081/6396/10010/643246/5868/4539/4731/55860/4541/84617/4538/5216/7280/572/6432/9782/517/83544/5217/6428/144983/1349/4717/4697/129401/4707/220988/54539/9631/5532/3181/4698/4696/55916/4744/10126/1350/55706/516/2066/1770/146754/23225/5608/4842/2903/9001/201625",86
"hsa03015","hsa03015","mRNA surveillance pathway","15/2774","97/8577",0.999956205473924,1,0.624707168514759,"5523/4440/5526/81608/53918/5516/5525/1479/5520/5501/9887/11052/22916/65109/55916",15
"hsa03050","hsa03050","Proteasome","4/2774","46/8577",0.999971078665582,1,0.624707168514759,"5698/5696/5721/5699",4
"hsa00190","hsa00190","Oxidative phosphorylation","23/2774","134/8577",0.999978765428435,1,0.624707168514759,"10312/245972/245973/9114/51382/4539/4731/4541/4538/1355/517/1349/4717/4697/4707/54539/1353/4698/4696/155066/1350/516/479",23
"hsa05012","hsa05012","Parkinson disease","54/2774","266/8577",0.999996667214447,1,0.624707168514759,"7054/3800/9627/7494/817/65018/91252/4217/2770/113457/10381/3309/51807/51465/2771/23516/7318/1843/9451/3709/7295/147700/598/7922/836/90550/2081/805/9246/4539/4731/4541/84617/4538/25800/7280/517/10131/91860/1349/4717/4697/4707/801/54539/4698/4696/5602/5413/1350/516/64116/6622/4137",54
"hsa05016","hsa05016","Huntington disease","59/2774","306/8577",0.999999928136017,1,0.624707168514759,"2878/10891/90993/55062/627/7052/1767/3800/64764/6804/4217/113457/10381/51807/56171/8218/10488/147700/6875/5441/5332/1212/1173/836/2081/160/5331/4539/4731/3092/55860/4541/84617/4538/23236/7280/6667/517/83544/1349/4717/4697/4899/4707/54539/4698/4696/5602/7019/1742/10126/1350/516/1770/23186/146754/6507/9001/201625",59
"hsa03040","hsa03040","Spliceosome","24/2774","216/8577",0.999999999999961,1,0.624707168514759,"3310/3303/3304/3305/10929/25766/6432/9410/27258/6637/84321/6428/23450/144983/51645/27316/22916/220988/84950/9879/4670/6635/23658/51362",24
"hsa03008","hsa03008","Ribosome biogenesis in eukaryotes","11/2774","164/8577",1,1,0.624707168514759,"345630/25996/51119/51068/3692/22803/2091/23195/55916/55651/109616984",11
"hsa03010","hsa03010","Ribosome","8/2774","167/8577",1,1,0.624707168514759,"64968/6150/64981/6224/51081/64965/51263/29093",8
"hsa04740","hsa04740","Olfactory transduction","20/2774","439/8577",1,1,0.624707168514759,"5137/5138/817/5592/408/5997/805/91860/801/157/409/156/346528/6543/5153/26686/5136/7932/390429/283159",20
