"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa00604","hsa00604","Glycosphingolipid biosynthesis - ganglio series","10/2774","15/8577",0.00665346200704401,0.0239580423487912,0.01496676079887,"27090/6482/8705/3074/30815/3073/2720/2583/29906/6489",10
"hsa04540","hsa04540","Gap junction","40/2774","88/8577",0.00668320649301688,0.0239580423487912,0.01496676079887,"114/5154/1956/5156/5155/2977/5592/112/2983/196883/2770/113457/10381/51807/6714/108/2771/115/3709/5159/56034/5598/2982/5332/7082/5604/5578/6655/5331/84617/23236/113/7280/5594/983/1950/5607/153/5582/5579",40
"hsa05120","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","33/2774","70/8577",0.00675375081049009,0.0239580423487912,0.01496676079887,"6352/3576/2919/1956/4233/1839/2920/10312/2921/4790/3725/58494/6300/245972/5600/10392/4067/6714/102/245973/7082/836/8517/998/9114/5970/51382/5058/4792/9020/1147/5602/155066",33
"hsa05144","hsa05144","Malaria","25/2774","50/8577",0.00697549683911869,0.0244869003623229,0.0152971421910498,"7099/7057/3576/3383/6382/3082/7058/3606/3592/2995/4233/7042/7412/1311/3553/6347/3569/7124/7059/7097/4035/6383/975/3689/3040",25
"hsa04934","hsa04934","Cushing syndrome","65/2774","155/8577",0.00718409605253178,0.0249591790691053,0.0155921780847136,"7476/7477/185/23746/114/81029/1956/90993/7483/183/57552/3777/7475/1026/51655/817/64764/112/7855/196/83439/196883/2770/10297/6932/1589/1021/5908/108/10488/2771/115/3709/775/7473/8323/3949/80326/5332/6934/5604/1855/2535/8326/8324/5331/23236/113/5594/4297/6667/1027/595/1031/1869/51176/7474/8313/8321/8912/1870/5087/6770/8913/8911",65
"hsa01524","hsa01524","Platinum drug resistance","34/2774","73/8577",0.00757943811903083,0.0259425919708713,0.0162065231740568,"2938/330/329/1026/5293/4217/1244/4257/5366/598/207/540/836/2064/4258/9446/578/572/5594/4436/4193/2956/355/2947/672/538/332/10000/2941/7153/2944/2949/2946/2948",34
"hsa04670","hsa04670","Leukocyte transendothelial migration","50/2774","115/8577",0.00769529800168075,0.0259425919708713,0.0162065231740568,"3383/5010/137075/1364/7412/3676/4313/4688/5880/10451/87/10398/9564/5293/58494/7408/6387/2770/6300/81/7414/10411/3688/5908/10627/5600/2771/6093/1495/71/60/1535/9069/5829/5578/83692/998/7410/6494/4301/4267/83593/93408/3684/3689/5582/399/5579/7409/7852",50
"hsa05210","hsa05210","Colorectal cancer","39/2774","86/8577",0.00769809850767696,0.0259425919708713,0.0162065231740568,"1956/2069/7042/5880/1026/4088/7039/7046/7048/5293/4616/3725/83439/10297/6932/374/5366/207/5899/6934/5604/836/1647/6655/578/572/5594/4436/26060/2956/5602/595/332/10000/1950/51176/2353/8313/1630",39
"hsa00600","hsa00600","Sphingolipid metabolism","26/2774","53/8577",0.00820086677551803,0.027363288151976,0.0170940422626744,"8877/7357/8613/166929/8611/3074/410/5660/259230/3073/9517/2720/91012/2583/8879/55331/4758/8560/56848/9331/2581/79603/2531/10715/6609/7368",26
"hsa04662","hsa04662","B cell receptor signaling pathway","38/2774","84/8577",0.00886667533943351,0.0292947998959715,0.0183006714952188,"933/5880/10451/4773/5293/5533/4790/3725/8519/3636/4772/4067/8915/975/207/5604/4794/8517/5970/6655/7410/971/4792/5594/3635/1147/5532/10000/4775/2353/84433/5579/7409/973/10859/11027/974/930",38
"hsa04142","hsa04142","Lysosome","56/2774","132/8577",0.00913260954945239,0.0298222184117328,0.0186301536228223,"23553/7805/54/1514/1522/2519/1520/4126/10312/10053/3988/1519/22901/967/10577/1508/9516/23659/245972/2760/968/8905/3482/4864/8722/3074/26503/8218/410/5660/5476/6448/4669/3425/411/285362/3073/5641/2720/1509/950/1212/2799/2588/4758/3916/9114/8907/9741/23062/2581/130340/6609/1510/1515/8120",56
"hsa05219","hsa05219","Bladder cancer","21/2774","41/8577",0.00920329588967423,0.0298222184117328,0.0186301536228223,"7057/3576/1956/1839/1890/4313/1026/4312/1613/6714/11186/5604/2064/5594/4193/7422/595/1869/1950/1870/1612",21
"hsa04310","hsa04310","Wnt signaling pathway","70/2774","171/8577",0.010476122451878,0.0334327851577527,0.020885700551462,"7476/7477/343637/81029/164284/22943/59352/7483/166336/7475/8061/5880/4773/4088/84870/817/147111/5533/3725/7855/55366/83439/10297/23500/6932/4772/4007/4920/6422/8549/7473/8323/80326/7088/5332/7091/6934/5578/1855/2535/8326/144165/5467/8324/5331/23236/5663/1454/23401/4040/5532/5602/595/4775/57216/51176/7474/85407/80319/8313/8321/85409/7089/147495/5582/54894/27123/5579/6423/9350",70
"hsa04929","hsa04929","GnRH secretion","30/2774","64/8577",0.0105159502276611,0.0334327851577527,0.020885700551462,"6696/3783/3814/1081/7220/5293/3972/2852/610/3782/3709/775/408/207/5332/5604/5578/5331/23236/5594/57657/409/10000/7223/8912/5582/8913/5579/3780/8911",30
